customer_dim_id,customer_id,customer_first_name,customer_last_name,customer_type,customer_store_state,customer_store_city,customer_store_street,customer_store_zipcode,customer_store_latitude,customer_store_longitude
1,1,Richard,Hernandez,Consumer,Texas,Brownsville,6303 Heather Plaza,78521,25.9536476,-97.5076828
2,2,Mary,Barrett,Consumer,Colorado,Littleton,9526 Noble Embers Ridge,80126,38.3755951,-104.7260208
3,3,Ann,Smith,Consumer,Puerto Rico,Caguas,3422 Blue Pioneer Bend,00725,18.0253754,-66.6150818
4,4,Mary,Jones,Consumer,California,San Marcos,8324 Little Common,92069,33.6700211,-112.2470779
5,5,Robert,Hudson,Home Office,Puerto Rico,Caguas,10 Crystal River Mall ,00725,18.3591042,-66.0779114
6,6,Mary,Smith,Consumer,New Jersey,Passaic,3151 Sleepy Quail Promenade,07055,40.8715401,-74.1226349
7,7,Melissa,Wilcox,Corporate,Puerto Rico,Caguas,9453 High Concession,00725,18.3590946,-66.0799561
8,8,Megan,Smith,Corporate,Massachusetts,Lawrence,3047 Foggy Forest Plaza,01841,34.0282745,-118.2391357
9,9,Mary,Perez,Consumer,Puerto Rico,Caguas,3616 Quaking Street,00725,18.0252800,-66.6130676
10,10,Melissa,Smith,Corporate,Virginia,Stafford,8598 Harvest Beacon Plaza,22554,38.4713593,-77.4141998
11,11,Mary,Huffman,Consumer,Puerto Rico,Caguas,3169 Stony Woods,00725,18.0253754,-66.6150818
12,12,Christopher,Smith,Corporate,Texas,San Antonio,5594 Jagged Embers By-pass,78227,25.9133720,-97.4456482
13,13,Mary,Baldwin,Home Office,Puerto Rico,Caguas,7922 Iron Oak Gardens,00725,18.3590870,-66.0779343
14,14,Katherine,Smith,Corporate,California,Pico Rivera,5666 Hazy Pony Square,90660,33.9889221,-118.0814438
15,15,Jane,Luna,Corporate,California,Fontana,673 Burning Glen,92336,34.1130714,-117.5087280
16,16,Tiffany,Smith,Corporate,Puerto Rico,Caguas,6651 Iron Port,00725,18.2965202,-66.0486755
17,17,Mary,Robinson,Consumer,Michigan,Taylor,1325 Noble Pike,48180,42.2006111,-83.2432098
18,18,Robert,Smith,Consumer,California,Martinez,2734 Hazy Butterfly Circle,94553,38.0092545,-122.1187134
19,19,Stephanie,Mitchell,Home Office,Puerto Rico,Caguas,3543 Red Treasure Bay,00725,18.3591061,-66.0778961
20,20,Mary,Ellis,Consumer,New Jersey,West New York,4703 Old Route,07093,40.7571907,-74.0250626
21,21,William,Zimmerman,Consumer,Puerto Rico,Caguas,3323 Old Willow Mall ,00725,18.0252037,-66.6128922
22,22,Joseph,Smith,Corporate,New Jersey,North Bergen,7740 Broad Fox Villas,07047,40.8089409,-74.0328598
23,23,Benjamin,Duarte,Corporate,Puerto Rico,San Juan,8811 High Horse Impasse,00921,18.0183621,-66.6162338
24,24,Mary,Smith,Home Office,Puerto Rico,Caguas,9417 Emerald Towers,00725,18.3512459,-65.9630890
25,25,Paul,Richardson,Home Office,Arizona,Peoria,318 Merry Creek Mountain,85345,33.6700211,-112.2470779
26,26,Johnny,Hood,Consumer,Illinois,Glenview,9576 Middle Hills Round,60025,37.6414375,-121.8764877
27,27,Mary,Vincent,Consumer,Puerto Rico,Caguas,1768 Sleepy Zephyr Place,00725,18.3590088,-66.0781555
28,28,Timothy,Smith,Consumer,Washington,Longview,9366 Colonial Horse Close,98632,46.1405602,-122.9390869
29,29,Mary,Humphrey,Consumer,Texas,Fort Worth,2469 Blue Brook Crossing,76133,32.6581993,-97.4026108
30,30,Barbara,Smith,Home Office,Puerto Rico,Caguas,2455 Merry Hollow,00725,18.1464901,-66.5489655
31,31,Mary,Byrd,Consumer,New Mexico,Albuquerque,8259 Foggy Edge,87111,35.1314392,-106.5452042
32,32,Alice,Smith,Corporate,Puerto Rico,Caguas,2082 Hidden Green,00725,18.2275734,-66.0434341
33,33,Adam,Petersen,Consumer,Virginia,Norfolk,9768 Noble Horse Heights,23503,36.9501000,-76.2484894
34,34,Mary,Smith,Corporate,Puerto Rico,Caguas,3330 Easy Berry Range,00725,18.1465778,-66.2772217
35,35,Margaret,Wright,Consumer,California,Oceanside,9456 Sleepy Jetty,92056,32.6892090,-97.3968506
36,36,Michelle,Carey,Corporate,Puerto Rico,Caguas,6336 Fallen Village,00725,18.2275734,-66.0434418
37,37,Virginia,Conrad,Consumer,Virginia,Norfolk,6115 Indian Beacon Close,23503,36.9404488,-76.2564011
38,38,Mary,Smith,Consumer,Louisiana,Opelousas,2805 Crystal Moor,70570,30.2416191,-97.8914414
39,39,Juan,Mckinney,Consumer,Puerto Rico,Caguas,7274 Blue Wagon  Villas,00725,18.2240849,-66.0469818
40,40,Mary,Smith,Consumer,California,Long Beach,7358 Rocky Villas,90805,33.5668793,-117.7633209
41,41,Victoria,Mason,Consumer,New York,Brooklyn,7869 Crystal View Villas,11230,40.6756935,-73.8745041
42,42,Ethan,Smith,Consumer,Georgia,Duluth,7533 Thunder Wagon  Beach,30096,33.8394470,-118.1929245
43,43,Mary,Herring,Corporate,Puerto Rico,Caguas,4575 Thunder Dale,00725,18.2765732,-66.0353165
44,44,Howard,Smith,Corporate,California,Napa,1356 Easy Plaza,94558,38.3055306,-122.2734375
45,45,Mary,Nunez,Consumer,Colorado,Denver,1229 Bright Robin Corners,80231,39.7101021,-105.0270767
46,46,Jennifer,Smith,Consumer,New York,Freeport,5463 Rocky Autoroute,11520,33.0658188,-97.3623962
47,47,Lori,Fuller,Home Office,Puerto Rico,Caguas,357 Noble Lane,00725,18.2275467,-66.0436020
48,48,Mary,Cowan,Consumer,Ohio,Strongsville,1040 Hazy Timber Lookout,44136,41.3473511,-81.8305512
49,49,Martha,Smith,Consumer,Puerto Rico,Caguas,7449 Merry Chase,00725,18.2502956,-66.0760880
50,50,Mary,Kim,Consumer,California,San Bernardino,938 Rustic Pine Ridge,92410,33.6183739,-117.1344681
51,51,Jessica,Smith,Home Office,Puerto Rico,Caguas,8344 Dewy Fawn Farms,00725,18.2256336,-66.0474548
52,52,Mary,Lawson,Corporate,Illinois,Chicago,65 Silent Inlet,60622,41.8908310,-87.6304321
53,53,Katherine,Smith,Corporate,Georgia,Roswell,975 Honey Loop,30075,34.0591545,-84.3575821
54,54,Mary,Olson,Home Office,Puerto Rico,Caguas,7333 Cinder Way,00725,18.0253811,-66.6150818
55,55,Janet,Farley,Home Office,Arizona,Phoenix,6512 Middle Parade,85029,33.8111229,-112.0818558
56,56,Mary,Kaiser,Consumer,Puerto Rico,Caguas,7554 Stony Goose Crossing,00725,18.1464901,-66.5767593
57,57,Mary,Smith,Consumer,Maryland,Baltimore,57 High Villas,21229,39.2889404,-76.6032562
58,58,Michael,Edwards,Consumer,Puerto Rico,Caguas,4770 Blue Pines,00725,18.2256336,-66.0474548
59,59,Douglas,James,Consumer,California,Sunnyvale,2306 Green Lane,94086,37.3823624,-122.0837021
60,60,Mary,Gutierrez,Home Office,New York,Webster,8632 Bright Route,14580,37.7779694,-121.9719162
61,61,Margaret,Summers,Home Office,Puerto Rico,Caguas,8963 Hidden Panda Meadow,00725,18.1464901,-66.5489655
62,62,Mary,Oneal,Consumer,New York,Brooklyn,2659 Jagged Rabbit View,11223,43.1041298,-77.1641922
63,63,Aaron,Smith,Home Office,Puerto Rico,Caguas,2265 Foggy Lagoon Bend,00725,18.2275734,-66.0456238
64,64,Mary,Reynolds,Corporate,Illinois,Chicago,2407 Gentle Woods,60647,41.9163399,-87.6373138
65,65,Jennifer,Smith,Consumer,New Jersey,Princeton,7126 Shady Bluff Promenade,08540,40.8089409,-74.0328598
66,66,Mary,Booth,Home Office,Puerto Rico,Caguas,8824 Noble View Valley,00725,18.2145023,-66.0867157
67,67,Samantha,Smith,Corporate,Illinois,Chicago,7869 Wishing Anchor Court,60619,29.5035687,-98.5855560
68,68,Mary,Oneal,Consumer,Arizona,Peoria,376 Silver Terrace,85345,33.0932007,-117.1668167
69,69,Megan,Smith,Consumer,Puerto Rico,Caguas,7796 Thunder Forest Villas,00725,18.2236843,-66.0492859
70,70,Mary,Simmons,Corporate,California,Los Angeles,5553 Cinder Harbour,90042,33.7358322,-118.2922211
71,71,Charles,Smith,Corporate,Pennsylvania,Philadelphia,6140 Pleasant Dale Farm,19145,34.0899925,-118.1542206
72,72,Frank,Gillespie,Consumer,California,Vista,5332 Heather Hills Isle,92084,33.2912064,-117.2689590
73,73,Mary,Smith,Home Office,Puerto Rico,Caguas,8247 Little Cider Close,00725,18.2275887,-66.0435791
74,74,Alice,Rush,Corporate,North Carolina,Jacksonville,409 Iron Park,28540,29.4687157,-98.3510895
75,75,Mary,Smith,Consumer,Puerto Rico,Caguas,1510 Broad Rise Expressway,00725,18.2275810,-66.0435638
76,76,Joseph,Young,Consumer,California,Los Angeles,7605 Tawny Horse Falls,90016,34.0431786,-118.7794800
77,77,Shirley,Dalton,Corporate,Puerto Rico,Caguas,1021 Silver Log Cape,00725,18.2276955,-66.0435638
78,78,Jeremy,Smith,Home Office,Maryland,Parkville,2714 Dewy Bay,21234,39.3955994,-76.5461655
79,79,Mary,Watkins,Consumer,Tennessee,Knoxville,1315 Honey Rabbit Link,37922,35.9458504,-84.0939102
80,80,Joe,Parsons,Corporate,Puerto Rico,Caguas,3891 Broad Line,00725,18.2912407,-66.0464706
81,81,Mary,Smith,Home Office,New York,Ithaca,8434 Honey Pines,14850,33.6672630,-118.0185242
82,82,Jonathan,Cook,Consumer,Texas,San Antonio,7885 Sleepy Cove,78240,32.8707810,-97.3233566
83,83,Mary,Wong,Corporate,Puerto Rico,Caguas,8584 Lazy Via,00725,18.2502575,-66.0585785
84,84,Douglas,Smith,Consumer,Florida,Tampa,6540 Emerald Turnabout,33624,34.0251083,-117.9581146
85,85,Mary,Perez,Consumer,Puerto Rico,Caguas,5104 Iron Log Limits,00725,18.2276001,-66.0435791
86,86,John,Smith,Corporate,Texas,Fort Worth,8780 Colonial Orchard,76106,32.8581810,-97.3507919
87,87,Gloria,Brown,Corporate,Puerto Rico,Caguas,3996 Crystal Zephyr Swale,00725,18.2275372,-66.0435867
